participantId,surveyCode,time,age,gender,imageExperience,1648475242929\bus_bicubic.png,1648475242929\bus_bilinear.png,1648475242929\bus_lanczos3.png,1648475242929\bus_ogniewski.png,1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_bilinear.png,1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_ogniewski.png,1648475242929\smolking_lab.png,1648475242929\smolking_linrgb.png,1648475242929\smolking_srgb.png,1648475242929\snail_lab.png,1648475242929\snail_linrgb.png,1648475242929\snail_srgb.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bilinear.png,1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_ogniewski.png
312a7c52-7a84-44a4-9472-fc147fb0d211,lKVzlebLc,1432.307,1,male,professional,3,1,0,2,3,1,0,2,1,0,3,2,1,0,2,0,1,2,1,3,2,0
55adec2e-2835-4aa9-aefe-b2c6b32dca1c,_fgvUTLo8,330.8020000000001,47,male,professional,1,3,0,2,1,2,0,3,2,1,0,3,1,0,2,2,1,0,2,0,1,3
dd6e52d4-8d27-4961-94b0-27e679e0cb97,R_kaVHnYW,168.833,23,male,education,2,1,0,3,1,2,0,3,2,1,0,3,0,2,1,0,2,1,2,0,1,3
2769aaec-2042-479a-9e9d-2100dca259cf,glqfJFHkZ,19.183,1,other,none,3,2,0,1,0,2,1,2,1,0,2,1,3,0,2,3,0,1,0,3,2,1
bd3a8d7f-7bfc-441f-b0d7-709b0e33c368,bQWETiEiY,478.702,56,male,professional,2,1,0,3,3,1,0,2,2,1,0,3,1,0,2,0,1,2,3,0,1,2


imageA,imageB,chosenImage,time,participantId,isRepeat
1648475242929\bus_bicubic.png,1648475242929\bus_bilinear.png,1648475242929\bus_bicubic.png,53.354,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\bus_bicubic.png,1648475242929\bus_ogniewski.png,1648475242929\bus_bicubic.png,25.603,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\bus_ogniewski.png,1648475242929\bus_bilinear.png,1648475242929\bus_ogniewski.png,3.338,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\bus_bilinear.png,1648475242929\bus_ogniewski.png,1648475242929\bus_bilinear.png,8.419,312a7c52-7a84-44a4-9472-fc147fb0d211,1
1648475242929\bus_ogniewski.png,1648475242929\bus_lanczos3.png,1648475242929\bus_ogniewski.png,3.138,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\bus_bilinear.png,1648475242929\bus_lanczos3.png,1648475242929\bus_bilinear.png,37.746,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bicubic.png,1.88,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bicubic.png,1.506,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bicubic.png,5.421,312a7c52-7a84-44a4-9472-fc147fb0d211,1
1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_ogniewski.png,61.465,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_ogniewski.png,2.656,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bilinear.png,2.147,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\mushroom_bicubic.png,1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_ogniewski.png,32.145,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_bicubic.png,1648475242929\mushroom_ogniewski.png,22.906,312a7c52-7a84-44a4-9472-fc147fb0d211,1
1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_lanczos3.png,1648475242929\mushroom_lanczos3.png,0.821,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\mushroom_bilinear.png,1648475242929\mushroom_ogniewski.png,1648475242929\mushroom_ogniewski.png,10.965,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\mushroom_bicubic.png,1648475242929\mushroom_bilinear.png,1648475242929\mushroom_bicubic.png,10.644,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\smolking_linrgb.png,1648475242929\smolking_lab.png,1648475242929\smolking_lab.png,966.818,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\smolking_srgb.png,1648475242929\smolking_lab.png,1648475242929\smolking_srgb.png,35.429,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\snail_linrgb.png,1648475242929\snail_srgb.png,1648475242929\snail_srgb.png,76.964,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\snail_srgb.png,1648475242929\snail_lab.png,1648475242929\snail_srgb.png,13.172,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\snail_lab.png,1648475242929\snail_srgb.png,1648475242929\snail_lab.png,20.374,312a7c52-7a84-44a4-9472-fc147fb0d211,1
1648475242929\snail_linrgb.png,1648475242929\snail_lab.png,1648475242929\snail_linrgb.png,7.423,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_lanczos3.png,2.503,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\stonewall_bilinear.png,1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_bilinear.png,0.869,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_lanczos3.png,52.368,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\stonewall_bicubic.png,1648475242929\stonewall_lanczos3.png,1648475242929\stonewall_bicubic.png,73.93,312a7c52-7a84-44a4-9472-fc147fb0d211,1
1648475242929\stonewall_ogniewski.png,1648475242929\stonewall_bicubic.png,1648475242929\stonewall_bicubic.png,29.353,312a7c52-7a84-44a4-9472-fc147fb0d211,0
1648475242929\bus_bicubic.png,1648475242929\bus_ogniewski.png,1648475242929\bus_ogniewski.png,25.378,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\bus_ogniewski.png,1648475242929\bus_bilinear.png,1648475242929\bus_bilinear.png,9.287,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\bus_ogniewski.png,1648475242929\bus_lanczos3.png,1648475242929\bus_ogniewski.png,6.97,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\bus_lanczos3.png,1648475242929\bus_ogniewski.png,1648475242929\bus_lanczos3.png,10.348,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,1
1648475242929\bus_bicubic.png,1648475242929\bus_lanczos3.png,1648475242929\bus_bicubic.png,16.383,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_ogniewski.png,26.602,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\interpsmolking_ogniewski.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_ogniewski.png,41.838,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\interpsmolking_bicubic.png,1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_bilinear.png,3.287,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
1648475242929\interpsmolking_bilinear.png,1648475242929\interpsmolking_lanczos3.png,1648475242929\interpsmolking_bilinear.png,2.247,55adec2e-2835-4aa9-aefe-b2c6b32dca1c,0
