participantId,surveyCode,time,age,gender,imageExperience,1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,1649679807422\bird_bilinear.png,1649679807422\bird_lanczos3.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,1649679807422\bus_bicubic.png,1649679807422\bus_bilinear.png,1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bilinear.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_ogniewski.png,1649679807422\smolking_lab.png,1649679807422\smolking_linrgb.png,1649679807422\smolking_srgb.png
91bac3f4-f20d-4cf3-94c7-e5777980b16b,xVku7Miix,372.991,23,male,education,1,0,2,2,3,0,1,1,0,3,2,3,0,1,2,2,1,0,3,2,0,1
8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,P00VmCDRb,296.97099999999995,21,male,none,0,1,2,1,3,0,2,0,1,2,3,1,0,2,3,2,1,0,3,0,2,1
31db90e1-a810-4892-bf95-7ea21809f1e4,5haYuRRBe,428.908,25,male,education,1,0,2,1,2,0,3,3,0,1,2,3,1,0,2,2,0,1,3,2,0,1
2fcffd32-14d6-4f47-8275-54345aaf7508,UVaTTG0Le,132.46699999999998,23,male,education,0,1,2,1,2,0,3,2,0,3,1,1,2,0,3,3,1,0,2,1,0,2
2153a579-642c-4640-81e6-c27811d1a46d,XgObDkqtz,140.00099999999998,25,female,none,0,1,2,1,2,0,3,3,0,1,2,1,2,0,3,2,1,0,3,1,0,2
621a9652-1218-49c0-9f4e-92f55f0a8d2f,2iyc3Y-wP,179.692,22,male,education,0,1,2,1,3,0,2,0,2,1,3,3,1,0,2,1,2,0,3,0,1,2
81d3e621-0520-4616-9832-f2c906479581,QwP_PptUa,152.11900000000003,25,male,education,1,0,2,2,3,0,1,0,3,1,2,2,3,0,1,2,1,0,3,0,2,1
dd04a764-7576-4e58-a80d-576d52319c0a,Iq1gEuMgx,214.862,23,female,education,1,2,0,1,0,2,3,2,0,3,1,2,1,0,3,2,1,0,3,2,1,0
ab6ed4b9-4065-4d66-a532-b6f5f07d7de1,C7mJ_Xd48,321.097,58,male,none,1,0,2,1,3,0,2,0,1,2,3,2,1,0,3,1,2,0,3,1,0,2
94ca6b95-8bde-49d3-82f2-16aa814ab8a5,5RCuR2ytQ,338.915,35,male,education,2,1,0,2,0,3,1,3,1,0,2,1,2,0,3,2,1,0,3,2,0,1
8c53a4c0-1e3d-4fa3-aa31-ca74c276cd99,LA-OH0Zph,198.158,23,male,education,1,0,2,0,3,1,2,2,0,3,1,2,0,3,1,2,1,0,3,2,0,1
dc3cb696-86c2-4aca-9443-603911517e70,B3nKD2Akc,192.857,22,male,education,0,1,2,1,2,0,3,3,2,0,1,1,2,0,3,2,1,0,3,1,0,2
c99fe3ff-dced-4bf9-b402-673252b8425e,8bbpJrQ3w,257.97100000000006,26,female,none,1,0,2,1,2,0,3,2,1,0,3,0,1,3,2,3,1,0,2,1,0,2
5f09fb64-51ad-4fe4-a1f4-561834f808aa,o8Dj1b3Ld,292.62399999999997,24,male,none,0,1,2,0,1,2,3,1,0,2,3,1,0,2,3,3,1,0,2,1,0,2
45323386-122d-4acd-ae6f-900d385b4697,jWCnnd_f_,646.032,24,male,education,1,0,2,2,0,1,3,3,2,1,0,1,2,0,3,1,2,0,3,2,0,1


imageA,imageB,chosenImage,time,participantId,isRepeat
1649679807422\snail_lab.png,1649679807422\snail_srgb.png,1649679807422\snail_srgb.png,43.769,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\snail_srgb.png,1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,7.696,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,1649679807422\snail_linrgb.png,3.331,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,1649679807422\snail_lab.png,4.727,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,1649679807422\bird_bicubic.png,11.466,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bird_bicubic.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,30.648,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\bird_bilinear.png,1649679807422\bird_bicubic.png,1649679807422\bird_bilinear.png,11.133,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bird_lanczos3.png,1649679807422\bird_bicubic.png,1649679807422\bird_lanczos3.png,15.19,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bird_lanczos3.png,1649679807422\bird_bilinear.png,1649679807422\bird_lanczos3.png,3.904,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bus_lanczos3.png,1649679807422\bus_bicubic.png,1649679807422\bus_lanczos3.png,68.504,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bus_bicubic.png,1649679807422\bus_lanczos3.png,1649679807422\bus_bicubic.png,7.814,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,1649679807422\bus_lanczos3.png,13.734,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bus_ogniewski.png,1649679807422\bus_bicubic.png,1649679807422\bus_ogniewski.png,36.76,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bus_bilinear.png,1649679807422\bus_ogniewski.png,1649679807422\bus_ogniewski.png,7.432,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bus_bilinear.png,1649679807422\bus_bicubic.png,1649679807422\bus_bicubic.png,10.317,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_ogniewski.png,8.777,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_ogniewski.png,24.136,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_lanczos3.png,12.18,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bilinear.png,3.761,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bicubic.png,13.385,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bicubic.png,3.727,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
