participantId,surveyCode,time,age,gender,imageExperience,1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,1649679807422\bird_bilinear.png,1649679807422\bird_lanczos3.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,1649679807422\bus_bicubic.png,1649679807422\bus_bilinear.png,1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bilinear.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_ogniewski.png,1649679807422\smolking_lab.png,1649679807422\smolking_linrgb.png,1649679807422\smolking_srgb.png
91bac3f4-f20d-4cf3-94c7-e5777980b16b,xVku7Miix,372.991,23,male,education,1,0,2,2,3,0,1,1,0,3,2,3,0,1,2,2,1,0,3,2,0,1
950a40e4-9527-4a70-91f9-796d1228a7a5,Sf30jj2QB,198.95399999999995,32,female,education,1,0,2,0,3,1,2,1,0,3,2,1,2,0,3,3,1,0,2,2,0,1
8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,P00VmCDRb,296.97099999999995,21,male,none,0,1,2,1,3,0,2,0,1,2,3,1,0,2,3,2,1,0,3,0,2,1
aabeb5e3-ccf1-489d-be8c-f700597ad091,q-bJRScYq,79.244,34,male,none,0,1,2,0,2,1,3,3,0,1,2,1,2,0,3,2,1,0,3,1,0,2
d08d4439-0189-4a2e-b7db-059c046a365f,E-qFduDBD,207.79499999999996,50,male,professional,1,0,2,1,3,0,2,1,3,0,2,1,2,0,3,2,1,0,3,2,0,1
31db90e1-a810-4892-bf95-7ea21809f1e4,5haYuRRBe,428.908,25,male,education,1,0,2,1,2,0,3,3,0,1,2,3,1,0,2,2,0,1,3,2,0,1
4ba03309-24e2-4868-ab1c-3eb7c8e7dcea,1LB69-LAN,135.56099999999998,51,male,professional,0,1,2,2,1,0,3,3,0,1,2,3,0,1,2,1,0,3,2,0,1,2
2fcffd32-14d6-4f47-8275-54345aaf7508,UVaTTG0Le,132.46699999999998,23,male,education,0,1,2,1,2,0,3,2,0,3,1,1,2,0,3,3,1,0,2,1,0,2
2153a579-642c-4640-81e6-c27811d1a46d,XgObDkqtz,140.00099999999998,25,female,none,0,1,2,1,2,0,3,3,0,1,2,1,2,0,3,2,1,0,3,1,0,2
621a9652-1218-49c0-9f4e-92f55f0a8d2f,2iyc3Y-wP,179.692,22,male,education,0,1,2,1,3,0,2,0,2,1,3,3,1,0,2,1,2,0,3,0,1,2
a4721bfb-b180-4cb4-8a69-7fa2121e1605,12-aF37iw,89.85,42,male,professional,0,1,2,0,2,1,3,1,2,0,3,1,2,0,3,2,3,0,1,1,0,2
2b2cb434-7134-4db5-b57e-18abbaa29e98,KT3f_yXJ_,373.465,34,male,education,0,1,2,0,3,1,2,2,0,3,1,2,0,1,3,3,1,0,2,0,2,1
45f9e616-4873-473a-9195-5b58c86bd97d,sK1eh1JO3,141.89500000000004,41,male,none,1,0,2,0,1,2,3,2,0,1,3,2,0,1,3,2,1,0,3,1,0,2
66c29eff-7b36-4187-b499-41b680a81189,JOadnXzPU,131.545,43,male,education,1,0,2,1,2,0,3,2,1,0,3,3,1,0,2,1,0,2,3,2,0,1
312a0553-06d7-40fc-ac15-ad92c4895def,oDmKWdcqK,153.46200000000002,29,male,professional,1,0,2,2,1,0,3,2,3,0,1,1,2,3,0,3,1,0,2,2,0,1
282678e4-6b6f-4394-a9fd-ba522701d010,Y3p6auN77,424.411,45,male,none,0,1,2,0,2,1,3,1,0,3,2,1,2,0,3,2,1,0,3,1,0,2
81d3e621-0520-4616-9832-f2c906479581,QwP_PptUa,152.11900000000003,25,male,education,1,0,2,2,3,0,1,0,3,1,2,2,3,0,1,2,1,0,3,0,2,1
939d55cf-6b4a-4934-9f9a-d2e80ec3cdff,Um39SX4mX,114.368,24,male,education,0,1,2,0,2,1,3,0,1,3,2,2,0,1,3,2,1,0,3,1,2,0
6029b037-2606-4607-8ccd-5cf8f02f1394,eZAt-_NSu,123.14899999999999,39,male,none,1,0,2,1,3,0,2,3,2,0,1,1,3,0,2,3,1,0,2,1,0,2
dd04a764-7576-4e58-a80d-576d52319c0a,Iq1gEuMgx,214.862,23,female,education,1,2,0,1,0,2,3,2,0,3,1,2,1,0,3,2,1,0,3,2,1,0
854567a4-9143-4522-864a-33bf8a75acef,Vgq_v5pn1,171.50699999999998,29,male,education,1,0,2,0,3,1,2,3,0,1,2,2,1,0,3,2,1,0,3,0,2,1
174b73a0-b997-4a7b-ae4a-42fbeae550a7,PttkJrjc7,217.145,42,male,none,0,1,2,2,3,0,1,0,1,2,3,3,1,0,2,1,2,0,3,2,0,1
cf9e8aef-fd47-43f7-bf57-e52fd512faf3,9qJYIWd9_,204.30800000000002,36,male,education,1,0,2,1,2,0,3,0,1,2,3,2,0,1,3,1,2,0,3,1,2,0
eaf473e4-931e-4f81-9a5b-61eb535d3756,edx8Lj-yW,1543.3349999999998,52,female,none,1,0,2,0,1,2,3,3,0,1,2,2,1,0,3,1,2,0,3,2,0,1
508373c6-2062-4b78-a604-c639d1ddb5f8,GzuxJoNvN,222.953,35,male,none,1,0,2,0,2,1,3,2,1,0,3,1,2,0,3,1,2,0,3,1,2,0
094d089c-8888-47a7-9121-1243e6ab9127,5i9TuYe6X,244.35599999999994,59,male,professional,1,2,0,0,1,2,3,3,2,0,1,1,2,0,3,2,1,0,3,1,0,2
ab6ed4b9-4065-4d66-a532-b6f5f07d7de1,C7mJ_Xd48,321.097,58,male,none,1,0,2,1,3,0,2,0,1,2,3,2,1,0,3,1,2,0,3,1,0,2
94ca6b95-8bde-49d3-82f2-16aa814ab8a5,5RCuR2ytQ,338.915,35,male,education,2,1,0,2,0,3,1,3,1,0,2,1,2,0,3,2,1,0,3,2,0,1
8c53a4c0-1e3d-4fa3-aa31-ca74c276cd99,LA-OH0Zph,198.158,23,male,education,1,0,2,0,3,1,2,2,0,3,1,2,0,3,1,2,1,0,3,2,0,1
dc3cb696-86c2-4aca-9443-603911517e70,B3nKD2Akc,192.857,22,male,education,0,1,2,1,2,0,3,3,2,0,1,1,2,0,3,2,1,0,3,1,0,2
b706b8d8-c512-42d7-ba2a-14fb3842ed3e,CI-kHVKxp,221.99900000000002,35,female,none,1,0,2,1,3,0,2,3,0,1,2,2,1,0,3,1,2,0,3,1,0,2
c99fe3ff-dced-4bf9-b402-673252b8425e,8bbpJrQ3w,257.97100000000006,26,female,none,1,0,2,1,2,0,3,2,1,0,3,0,1,3,2,3,1,0,2,1,0,2
5f09fb64-51ad-4fe4-a1f4-561834f808aa,o8Dj1b3Ld,292.62399999999997,24,male,none,0,1,2,0,1,2,3,1,0,2,3,1,0,2,3,3,1,0,2,1,0,2
0c3415cb-07b0-4a2b-b075-16717fcd925b,As8pgVAKa,70.934,30,female,professional,1,0,2,1,0,2,3,1,2,0,3,2,1,0,3,3,1,0,2,2,0,1
8f0c1e41-2c3a-40ca-9eb0-1d1953b0722d,fHQ6XR_la,88.086,33,female,professional,1,0,2,0,3,1,2,3,1,0,2,2,1,0,3,3,2,0,1,2,1,0
45323386-122d-4acd-ae6f-900d385b4697,jWCnnd_f_,646.032,24,male,education,1,0,2,2,0,1,3,3,2,1,0,1,2,0,3,1,2,0,3,2,0,1
0421c4c9-b9a9-4c2f-83af-adcb5275c4e2,G4bODvKKN,132.64699999999996,37,male,professional,1,0,2,0,3,1,2,0,2,1,3,0,3,1,2,2,1,0,3,2,0,1


imageA,imageB,chosenImage,time,participantId,isRepeat
1649679807422\snail_lab.png,1649679807422\snail_srgb.png,1649679807422\snail_srgb.png,43.769,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\snail_srgb.png,1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,7.696,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,1649679807422\snail_linrgb.png,3.331,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,1649679807422\snail_lab.png,4.727,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,1649679807422\bird_bicubic.png,11.466,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bird_bicubic.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,30.648,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\bird_bilinear.png,1649679807422\bird_bicubic.png,1649679807422\bird_bilinear.png,11.133,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bird_lanczos3.png,1649679807422\bird_bicubic.png,1649679807422\bird_lanczos3.png,15.19,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bird_lanczos3.png,1649679807422\bird_bilinear.png,1649679807422\bird_lanczos3.png,3.904,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bus_lanczos3.png,1649679807422\bus_bicubic.png,1649679807422\bus_lanczos3.png,68.504,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bus_bicubic.png,1649679807422\bus_lanczos3.png,1649679807422\bus_bicubic.png,7.814,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,1649679807422\bus_lanczos3.png,13.734,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bus_ogniewski.png,1649679807422\bus_bicubic.png,1649679807422\bus_ogniewski.png,36.76,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bus_bilinear.png,1649679807422\bus_ogniewski.png,1649679807422\bus_ogniewski.png,7.432,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\bus_bilinear.png,1649679807422\bus_bicubic.png,1649679807422\bus_bicubic.png,10.317,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_ogniewski.png,8.777,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_ogniewski.png,24.136,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_lanczos3.png,12.18,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bilinear.png,3.761,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bicubic.png,13.385,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bicubic.png,3.727,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\mushroom_bilinear.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bicubic.png,5.331,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\mushroom_ogniewski.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_ogniewski.png,16.699,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bicubic.png,9.548,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\mushroom_bicubic.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bicubic.png,3.624,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\mushroom_bilinear.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bilinear.png,20.893,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\smolking_lab.png,1649679807422\smolking_srgb.png,1649679807422\smolking_lab.png,13.045,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\smolking_srgb.png,1649679807422\smolking_lab.png,1649679807422\smolking_srgb.png,46.519,91bac3f4-f20d-4cf3-94c7-e5777980b16b,1
1649679807422\smolking_linrgb.png,1649679807422\smolking_lab.png,1649679807422\smolking_lab.png,6.097,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\smolking_srgb.png,1649679807422\smolking_linrgb.png,1649679807422\smolking_srgb.png,4.541,91bac3f4-f20d-4cf3-94c7-e5777980b16b,0
1649679807422\snail_srgb.png,1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,4.19,950a40e4-9527-4a70-91f9-796d1228a7a5,0
1649679807422\snail_srgb.png,1649679807422\snail_lab.png,1649679807422\snail_srgb.png,3.099,950a40e4-9527-4a70-91f9-796d1228a7a5,0
1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,1649679807422\snail_lab.png,9.683,950a40e4-9527-4a70-91f9-796d1228a7a5,0
1649679807422\snail_linrgb.png,1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,4.864,950a40e4-9527-4a70-91f9-796d1228a7a5,1
1649679807422\bird_bicubic.png,1649679807422\bird_lanczos3.png,1649679807422\bird_lanczos3.png,22.457,950a40e4-9527-4a70-91f9-796d1228a7a5,0
1649679807422\bird_lanczos3.png,1649679807422\bird_bicubic.png,1649679807422\bird_lanczos3.png,8.106,950a40e4-9527-4a70-91f9-796d1228a7a5,1
1649679807422\bird_bilinear.png,1649679807422\bird_lanczos3.png,1649679807422\bird_lanczos3.png,13.361,950a40e4-9527-4a70-91f9-796d1228a7a5,0
1649679807422\bird_bicubic.png,1649679807422\bird_bilinear.png,1649679807422\bird_bicubic.png,4.796,950a40e4-9527-4a70-91f9-796d1228a7a5,0
1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,1649679807422\bird_bicubic.png,9.098,950a40e4-9527-4a70-91f9-796d1228a7a5,0
1649679807422\bird_ogniewski.png,1649679807422\bird_bilinear.png,1649679807422\bird_ogniewski.png,7.702,950a40e4-9527-4a70-91f9-796d1228a7a5,0
1649679807422\bus_bicubic.png,1649679807422\bus_ogniewski.png,1649679807422\bus_ogniewski.png,16.708,950a40e4-9527-4a70-91f9-796d1228a7a5,0
1649679807422\bus_ogniewski.png,1649679807422\bus_bilinear.png,1649679807422\bus_ogniewski.png,9.056,950a40e4-9527-4a70-91f9-796d1228a7a5,0
1649679807422\bus_bilinear.png,1649679807422\bus_bicubic.png,1649679807422\bus_bicubic.png,3.208,950a40e4-9527-4a70-91f9-796d1228a7a5,0
1649679807422\bus_bicubic.png,1649679807422\bus_bilinear.png,1649679807422\bus_bicubic.png,3.759,950a40e4-9527-4a70-91f9-796d1228a7a5,1
1649679807422\bus_lanczos3.png,1649679807422\bus_bicubic.png,1649679807422\bus_lanczos3.png,8.161,950a40e4-9527-4a70-91f9-796d1228a7a5,0
